Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,MontlyCharges,Churn
30,Female,39,14,5,18,23.8974359,1
65,Female,49,1,10,8,11.36734694,1
55,Female,14,4,6,18,13.21428571,1
58,Male,38,21,7,7,10.42105263,1
23,Male,32,20,5,8,19.28125,1
51,Male,33,25,9,26,3.909090909,1
58,Female,49,12,3,16,16.75510204,1
55,Female,37,8,4,15,12.02702703,1
39,Male,12,5,7,4,80.75,1
64,Female,3,25,2,11,138.3333333,1
29,Male,18,9,0,30,51.66666667,1
52,Female,21,6,3,26,39.52380952,1
22,Male,41,17,10,25,6.463414634,1
48,Female,35,25,1,13,14.8,1
24,Male,4,9,4,22,51,1
49,Male,56,17,2,30,17.41071429,1
19,Female,38,23,7,11,25.73684211,1
47,Male,41,14,1,5,3.682926829,1
24,Male,44,13,5,4,15.20454545,1
42,Male,15,16,2,14,17.46666667,1
57,Female,55,27,3,3,3.854545455,1
39,Female,43,2,4,15,13.41860465,1
27,Male,44,28,8,18,9.909090909,1
27,Female,52,8,7,3,8.346153846,1
59,Male,26,21,0,10,31.61538462,1
21,Male,2,21,7,22,217.5,1
60,Female,18,16,8,28,46.11111111,1
65,Female,29,29,0,5,29.55172414,1
35,Female,38,20,6,2,15.10526316,1
18,Male,37,15,8,6,21.62162162,1
56,Female,59,5,10,27,7.186440678,1
35,Male,40,27,8,28,5.8,1
29,Male,43,12,2,10,6.720930233,1
20,Male,37,24,7,5,10.02702703,1
63,Female,51,3,5,12,5.647058824,1
22,Female,39,8,2,4,24.07692308,1
25,Female,53,2,10,13,6.339622642,1
28,Male,24,24,8,6,23.83333333,1
51,Male,30,4,10,29,25.66666667,1
32,Male,6,22,3,12,68.83333333,1
38,Female,28,23,6,17,35.46428571,1
52,Male,17,26,4,6,51.23529412,1
37,Male,30,30,7,13,30.96666667,1
31,Female,4,29,7,22,122,1
30,Male,24,7,6,13,36.41666667,1
23,Female,26,21,7,24,38,1
35,Male,37,11,7,13,17.05405405,1
21,Female,56,11,9,9,11.17857143,1
56,Female,44,11,2,11,13.25,1
53,Female,18,21,1,23,39.83333333,1
41,Female,18,27,10,3,6.166666667,1
33,Male,6,12,7,29,144.8333333,1
18,Male,55,29,9,21,5.381818182,1
26,Male,60,9,10,1,10.71666667,1
42,Female,7,9,1,11,28,1
36,Male,2,15,3,29,250.5,1
22,Female,43,16,8,21,22.46511628,1
47,Male,59,24,6,26,4.881355932,1
30,Male,52,23,1,27,7.692307692,1
21,Female,51,1,8,6,12.11764706,1
27,Female,40,17,3,1,24.975,1
27,Male,34,13,4,26,6.294117647,1
32,Male,3,5,1,6,94,1
44,Female,43,1,8,28,12.74418605,1
38,Male,10,9,6,5,82,1
34,Female,5,18,3,29,115,1
42,Male,29,23,0,6,25.37931034,1
61,Male,41,4,7,23,18.36585366,1
22,Male,45,13,5,16,11.95555556,1
59,Female,53,13,0,4,12.98113208,1
53,Male,54,18,10,0,12.57407407,1
